n_embd,n_head,n_layer,dropout,final_train_loss,final_val_loss,final_train_perplexity,final_val_perplexity,iteracja
256,16,12,0.1,2.6610991954803467,2.6584877967834477,14.312016487121582,14.274686813354492,49
256,16,12,0.1,2.669189453125,2.6476635932922363,14.42827033996582,14.121007919311523,50
256,16,12,0.1,2.649618625640869,2.603384494781494,14.148641586303713,13.509376525878906,51
256,16,12,0.1,2.6335341930389404,2.6533823013305664,13.922893524169922,14.20199203491211,52
256,16,12,0.1,2.64509654045105,2.6534953117370605,14.08480739593506,14.203591346740724,53
256,16,12,0.1,2.641505479812622,2.638662576675415,14.034319877624512,13.99447250366211,54
256,16,12,0.1,2.6435253620147705,2.6556496620178223,14.06269645690918,14.234228134155272,55
256,16,12,0.1,2.625150680541992,2.6296346187591557,13.806654930114746,13.868698120117188,56
256,16,12,0.1,2.6231629848480225,2.6028923988342285,13.779234886169434,13.502742767333984,57
256,16,12,0.1,2.6423027515411377,2.612400770187378,14.045510292053224,13.63173484802246,58
256,16,12,0.1,2.602649688720703,2.6159262657165527,13.499460220336914,13.67987823486328,59
256,16,12,0.1,2.6412038803100586,2.608254909515381,14.030084609985352,13.57534408569336,60
256,16,12,0.1,2.614224433898926,2.6121208667755127,13.656620979309082,13.62791919708252,61
256,16,12,0.1,2.6399354934692383,2.6102614402771,14.012299537658691,13.60260009765625,62
256,16,12,0.1,2.6115946769714355,2.621974468231201,13.620757102966309,13.762871742248535,63
256,16,12,0.1,2.579857110977173,2.6325433254241943,13.195249557495115,13.909100532531738,64
256,16,12,0.1,2.612990140914917,2.6079232692718506,13.639777183532717,13.57083225250244,65
256,16,12,0.1,2.6121888160705566,2.6199471950531006,13.628849983215332,13.73498821258545,66
256,16,12,0.1,2.633467674255371,2.613730430603028,13.921963691711426,13.649876594543455,67
256,16,12,0.1,2.6171391010284424,2.618054151535034,13.69647979736328,13.70901870727539,68
256,16,12,0.1,2.606245994567871,2.62501859664917,13.548095703125,13.804834365844728,69
256,16,12,0.1,2.6075963973999023,2.594511747360229,13.56640338897705,13.390048027038574,70
256,16,12,0.1,2.598278284072876,2.5888824462890625,13.440574645996094,13.3148832321167,71
256,16,12,0.1,2.620717763900757,2.5789475440979004,13.745583534240724,13.183256149291992,72
256,16,12,0.1,2.6038830280303955,2.607841968536377,13.516122817993164,13.569735527038574,73
256,16,12,0.1,2.6114864349365234,2.604333877563477,13.619279861450195,13.522215843200684,74
256,16,12,0.1,2.5986931324005127,2.591073989868164,13.446157455444336,13.344100952148438,75
256,16,12,0.1,2.576930522918701,2.582131862640381,13.156689643859863,13.225309371948242,76
256,16,12,0.1,2.611368417739868,2.587002992630005,13.61767292022705,13.28988265991211,77
256,16,12,0.1,2.6166787147521973,2.5994668006896973,13.690181732177734,13.456561088562012,78
256,16,12,0.1,2.590296506881714,2.574183702468872,13.333722114562988,13.120606422424316,79
256,16,12,0.1,2.5789926052093506,2.577476739883423,13.183850288391112,13.163884162902832,80
256,16,12,0.1,2.591752052307129,2.5742013454437256,13.35314655303955,13.120837211608888,81
256,16,12,0.1,2.5891966819763184,2.5890629291534424,13.31907081604004,13.317283630371094,82
256,16,12,0.1,2.592061281204224,2.5811963081359863,13.357279777526855,13.212932586669922,83
256,16,12,0.1,2.593928098678589,2.595149040222168,13.382232666015623,13.398584365844728,84
256,16,12,0.1,2.5744998455047607,2.5838441848754883,13.124754905700684,13.247964859008787,85
